CODE_ISO;GMDNR;GMDNAME;AREA_HA;ACODE;ACAT;ANAME;E_CNTR;N_CNTR
CH;3216;Rorschacherberg;709;4401;2;Arbon – Rorschach;2756100;1259500
CH;3217;Steinach;449;4401;2;Arbon – Rorschach;2750800;1263300
CH;3218;Tübach;199;4401;2;Arbon – Rorschach;2751700;1261400
CH;3219;Untereggen;713;3203;4;St. Gallen;2751800;1257900
CH;3231;Au (SG);465;T_3251;2;Rheintal (CH);2765800;1256100
CH;3232;Balgach;652;T_3251;2;Rheintal (CH);2763800;1253000
CH;3233;Berneck;562;T_3251;2;Rheintal (CH);2764000;1255000
CH;3234;Diepoldsau;1125;T_3251;2;Rheintal (CH);2767400;1250600
CH;3236;St. Margrethen;687;T_3251;2;Rheintal (CH);2765500;1258100
CH;3237;Thal;966;4401;2;Arbon – Rorschach;2760700;1259300
CH;3238;Widnau;422;T_3251;2;Rheintal (CH);2765700;1252900
CH;3251;Altstätten;3946;T_3251;1;Rheintal (CH);2758700;1249600
CH;3252;Eichberg;544;T_3251;4;Rheintal (CH);2757500;1245900
CH;3253;Marbach (SG);438;T_3251;2;Rheintal (CH);2760800;1251200
CH;3255;Rebstein;439;T_3251;2;Rheintal (CH);2761900;1252100
CH;3271;Buchs (SG);1595;T_3271;1;Buchs (SG) (CH);2754100;1225800
CH;3272;Gams;2227;T_3271;4;Buchs (SG) (CH);2751800;1230100
CH;3273;Grabs;5465;T_3271;2;Buchs (SG) (CH);2751900;1227700
CH;3275;Sevelen;3033;T_3271;4;Buchs (SG) (CH);2755200;1221000
CH;3293;Mels;13911;93293;6;Mels – Sargans;2750500;1212500
CH;3296;Sargans;946;93293;6;Mels – Sargans;2752100;1212700
CH;3297;Vilters-Wangs;3272;93293;6;Mels – Sargans;2753000;1210100
CH;3338;Schmerikon;414;93339;6;Uznach;2714000;1231600
CH;3339;Uznach;754;93339;6;Uznach;2717100;1231500
CH;3340;Rapperswil-Jona;2225;3336;1;Rapperswil-Jona – Rüti;2705900;1232200
CH;3374;Lichtensteig;282;93379;6;Wattwil;2724600;1242800
CH;3379;Wattwil;5117;93379;6;Wattwil;2724800;1240500
CH;3402;Flawil;1147;93402;6;Flawil;2731900;1252800
CH;3405;Jonschwil;1099;3425;4;Wil (SG);2724400;1253900
CH;3407;Oberuzwil;1408;3425;2;Wil (SG);2727100;1254700
CH;3408;Uzwil;1449;3425;1;Wil (SG);2728500;1256300
CH;3424;Oberbüren;1773;3425;2;Wil (SG);2729900;1257000
CH;3427;Wil (SG);2082;3425;1;Wil (SG);2721000;1258000
CH;3441;Andwil (SG);631;3203;4;St. Gallen;2738500;1255500
CH;3442;Gaiserwald;1263;3203;2;St. Gallen;2743200;1254400
CH;3443;Gossau (SG);2751;3203;2;St. Gallen;2736500;1253200
CH;3444;Waldkirch;3134;3203;4;St. Gallen;2739200;1259200
CH;3721;Bonaduz;1440;3901;4;Chur;2749600;1186400
CH;3722;Domat/Ems;2422;3901;4;Chur;2753500;1189100
CH;3723;Rhäzüns;1337;3901;4;Chur;2749500;1184900
CH;3731;Felsberg;1340;3901;4;Chur;2755500;1190400
CH;3733;Tamins;4074;3901;4;Chur;2750200;1188500
CH;3787;St. Moritz;2869;93787;6;St. Moritz;2784200;1152400
CH;3804;Buseno;1115;5002;4;Bellinzona;2728600;1125900
CH;3810;Santa Maria in Calanca;931;5002;4;Bellinzona;2731500;1125000
CH;3835;San Vittore;2206;5002;4;Bellinzona;2728800;1122100
CH;3851;Davos;28400;93851;6;Davos;2782200;1185700
CH;3901;Chur;5424;3901;1;Chur;2759300;1191000
CH;3932;Tschiertschen-Praden;2774;3901;4;Chur;2765500;1187400
CH;3945;Trimmis;4287;3901;4;Chur;2762000;1196300
CH;3946;Untervaz;2772;3901;4;Chur;2759600;1199600
CH;3947;Zizers;1101;93955;6;Landquart;2761800;1200400
CH;3955;Landquart;1886;93955;6;Landquart;2761300;1203600
CH;4001;Aarau;1234;4001;1;Aarau;2645800;1249000
CH;4002;Biberstein;410;4001;4;Aarau;2648500;1251600
CH;4003;Buchs (AG);532;4001;2;Aarau;2647600;1248700
CH;4005;Erlinsbach (AG);986;4001;2;Aarau;2643200;1250100
CH;4006;Gränichen;1723;4001;2;Aarau;2650000;1245400
CH;4008;Küttigen;1190;4001;2;Aarau;2646000;1251800
CH;4009;Muhen;703;4001;4;Aarau;2646500;1243400
CH;4010;Oberentfelden;716;4001;3;Aarau;2645900;1245200
CH;4012;Suhr;1062;4001;2;Aarau;2648400;1246900
CH;4013;Unterentfelden;288;4001;3;Aarau;2645700;1246400
CH;4021;Baden;1317;4021;1;Baden – Brugg;2665400;1258400
CH;4022;Bellikon;494;261;4;Zürich;2668400;1249100
CH;4023;Bergdietikon;594;261;2;Zürich;2671600;1249000
CH;4026;Ennetbaden;211;4021;2;Baden – Brugg;2666100;1259100
CH;4027;Fislisbach;505;4021;3;Baden – Brugg;2664400;1254300
CH;4029;Gebenstorf;565;4021;2;Baden – Brugg;2660600;1259100
CH;4030;Killwangen;243;261;3;Zürich;2669000;1253900
CH;4031;Künten;489;261;4;Zürich;2667300;1249100
CH;4034;Neuenhof;538;4021;2;Baden – Brugg;2667200;1255400
CH;4037;Oberrohrdorf;430;4021;4;Baden – Brugg;2666300;1252400
CH;4038;Obersiggenthal;836;4021;2;Baden – Brugg;2664600;1260000
CH;4040;Spreitenbach;860;261;3;Zürich;2669900;1252300
CH;4042;Turgi;155;4021;2;Baden – Brugg;2661200;1260500
CH;4044;Untersiggenthal;828;4021;2;Baden – Brugg;2661500;1261600
CH;4045;Wettingen;1060;4021;2;Baden – Brugg;2666300;1257800
CH;4048;Würenlos;903;261;3;Zürich;2669800;1255100
CH;4061;Arni (AG);337;261;4;Zürich;2674200;1241300
CH;4062;Berikon;538;261;3;Zürich;2670800;1244800
CH;4063;Bremgarten (AG);1136;261;3;Zürich;2668400;1244800
CH;4066;Eggenwil;246;261;4;Zürich;2668100;1247000
CH;4067;Fischbach-Göslikon;307;261;4;Zürich;2665900;1246900
CH;4071;Jonen;570;261;4;Zürich;2672200;1238800
CH;4073;Oberlunkhofen;325;261;4;Zürich;2672100;1240500
CH;4074;Oberwil-Lieli;535;261;4;Zürich;2671600;1243200
CH;4075;Rudolfstetten-Friedlisberg;490;261;3;Zürich;2671100;1246800
CH;4079;Unterlunkhofen;449;261;4;Zürich;2671300;1241600
CH;4080;Villmergen;1194;4082;2;Wohlen (AG);2660900;1244400
CH;4081;Widen;262;261;3;Zürich;2669800;1246800
CH;4082;Wohlen (AG);1248;4082;1;Wohlen (AG);2663400;1244700
CH;4083;Zufikon;481;261;3;Zürich;2669600;1244200
CH;4084;Islisberg;166;261;4;Zürich;2675700;1241800
CH;4095;Brugg;825;4021;1;Baden – Brugg;2657900;1259400
CH;4100;Hausen (AG);320;4021;2;Baden – Brugg;2658300;1257100
CH;4110;Remigen;787;4021;4;Baden – Brugg;2656500;1263100
CH;4111;Riniken;476;4021;4;Baden – Brugg;2656500;1260600
CH;4123;Windisch;491;4021;2;Baden – Brugg;2658400;1259000
CH;4131;Beinwil am See;382;94141;6;Reinach (AG);2657800;1235300
CH;4139;Menziken;732;94141;6;Reinach (AG);2656700;1232700
CH;4141;Reinach (AG);947;94141;6;Reinach (AG);2656300;1233900
CH;4172;Münchwilen (AG);246;T_4260;2;Stein (AG) (CH);2639400;1265400
CH;4199;Holderbank (AG);233;4201;2;Lenzburg;2655100;1253100
CH;4201;Lenzburg;1131;4201;1;Lenzburg;2655500;1249000
CH;4203;Möriken-Wildegg;661;4201;2;Lenzburg;2656100;1251900
CH;4204;Niederlenz;331;4201;2;Lenzburg;2655700;1250300
CH;4210;Staufen;358;4201;2;Lenzburg;2654900;1248200
CH;4226;Besenbüren;238;261;4;Zürich;2668500;1240600
CH;4237;Oberrüti;538;1711;4;Zug;2672500;1224300
CH;4238;Rottenschwil;449;261;4;Zürich;2669900;1240800
CH;4251;Hellikon;704;T_2701;4;Basel (CH);2636600;1262200
CH;4252;Kaiseraugst;490;T_2701;3;Basel (CH);2621500;1265600
CH;4253;Magden;1102;T_2701;4;Basel (CH);2628200;1264100
CH;4254;Möhlin;1880;T_2701;4;Basel (CH);2630600;1267500
CH;4255;Mumpf;314;T_2701;4;Basel (CH);2636300;1266200
CH;4256;Obermumpf;502;T_2701;4;Basel (CH);2637600;1264400
CH;4257;Olsberg;461;T_2701;4;Basel (CH);2626000;1263500
CH;4258;Rheinfelden;1602;T_2701;3;Basel (CH);2626900;1267000
CH;4260;Stein (AG);283;T_4260;1;Stein (AG) (CH);2638400;1266000
CH;4261;Wallbach;455;T_4260;2;Stein (AG) (CH);2635000;1267700
CH;4262;Wegenstetten;712;T_2701;4;Basel (CH);2637300;1260900
CH;4263;Zeiningen;1137;T_2701;4;Basel (CH);2632500;1265700
CH;4264;Zuzgen;839;T_2701;4;Basel (CH);2634800;1263800
CH;4271;Aarburg;441;2581;2;Olten – Zofingen;2634900;1241100
CH;4274;Brittnau;1367;2581;2;Olten – Zofingen;2638500;1234300
CH;4280;Oftringen;1285;2581;2;Olten – Zofingen;2636500;1240700
CH;4285;Strengelbach;603;2581;2;Olten – Zofingen;2637100;1236500
CH;4287;Vordemwald;1014;2581;4;Olten – Zofingen;2634800;1236000
CH;4289;Zofingen;1108;2581;2;Olten – Zofingen;2638300;1237700
CH;4303;Böttstein;743;94304;6;Döttingen-Böttstein;2660900;1269100
CH;4304;Döttingen;693;94304;6;Döttingen-Böttstein;2661700;1269100
CH;4306;Fisibach;577;261;4;Zürich;2672900;1268400
CH;4309;Klingnau;671;94304;6;Döttingen-Böttstein;2661400;1270100
CH;4318;Schneisingen;826;261;4;Zürich;2669700;1263500
CH;4319;Siglistorf;551;261;4;Zürich;2670900;1266500
CH;4401;Arbon;601;4401;1;Arbon – Rorschach;2750000;1264300
CH;4421;Horn;172;4401;2;Arbon – Rorschach;2752500;1262400
CH;4431;Roggwil (TG);1203;3203;4;St. Gallen;2747400;1262800
CH;4436;Romanshorn;873;4436;1;Amriswil – Romanshorn;2745900;1270100
CH;4441;Salmsach;271;4436;2;Amriswil – Romanshorn;2745400;1269000
CH;4461;Amriswil;1902;4436;1;Amriswil – Romanshorn;2740000;1267700
CH;4566;Frauenfeld;2736;4566;1;Frauenfeld;2709600;1268400
CH;4643;Bottighofen;241;T_4671;2;Kreuzlingen (CH);2732800;1278000
CH;4671;Kreuzlingen;1150;T_4671;1;Kreuzlingen (CH);2730100;1278800
CH;4724;Eschlikon;622;3425;2;Wil (SG);2715500;1258300
CH;4746;Münchwilen (TG);781;3425;2;Wil (SG);2717500;1259800
CH;4751;Rickenbach (TG);158;3425;2;Wil (SG);2721600;1256600
CH;4761;Sirnach;1238;3425;1;Wil (SG);2718800;1256600
CH;4786;Wilen (TG);225;3425;2;Wil (SG);2720300;1256900
CH;4946;Weinfelden;1548;94946;6;Weinfelden;2725700;1269800
CH;5001;Arbedo-Castione;2139;5002;2;Bellinzona;2723900;1119200
CH;5002;Bellinzona;16420;5002;1;Bellinzona;2722400;1116800
CH;5010;Lumino;1010;5002;4;Bellinzona;2725500;1121200
CH;5017;Sant'Antonino;655;5002;4;Bellinzona;2719000;1112500
CH;5091;Ascona;495;T_5113;2;Locarno (CH);2702900;1112400
CH;5096;Brione sopra Minusio;382;T_5113;2;Locarno (CH);2706300;1115600
CH;5108;Gordola;695;T_5113;4;Locarno (CH);2710000;1115500
CH;5113;Locarno;1869;T_5113;1;Locarno (CH);2704700;1113800
CH;5115;Losone;926;T_5113;2;Locarno (CH);2702200;1113500
CH;5117;Mergoscia;1216;T_5113;4;Locarno (CH);2708700;1118500
CH;5118;Minusio;586;T_5113;2;Locarno (CH);2706300;1115000
CH;5120;Muralto;59;T_5113;2;Locarno (CH);2705600;1114500
CH;5121;Orselina;194;T_5113;2;Locarno (CH);2705200;1115200
CH;5125;Ronco sopra Ascona;500;T_5113;4;Locarno (CH);2699500;1111100
CH;5131;Tenero-Contra;369;T_5113;4;Locarno (CH);2708800;1115300
CH;5141;Agno;249;T_5192;2;Lugano (CH);2713100;1095000
CH;5143;Aranno;259;T_5192;4;Lugano (CH);2710900;1097200
CH;5144;Arogno;849;T_5192;4;Lugano (CH);2720100;1091000
CH;5146;Astano;380;T_5192;4;Lugano (CH);2706700;1096600
CH;5148;Bedano;187;T_5192;2;Lugano (CH);2714500;1101000
CH;5149;Bedigliora;254;T_5192;4;Lugano (CH);2708700;1095500
CH;5151;Bioggio;640;T_5192;2;Lugano (CH);2713800;1096800
CH;5154;Bissone;185;T_5192;4;Lugano (CH);2718400;1090200
CH;5160;Brusino Arsizio;412;T_5250;4;Chiasso – Mendrisio (CH);2716400;1087400
CH;5161;Cademario;396;T_5192;4;Lugano (CH);2712700;1097700
CH;5162;Cadempino;76;T_5192;2;Lugano (CH);2715900;1099100
CH;5167;Canobbio;128;T_5192;2;Lugano (CH);2718300;1099300
CH;5171;Caslano;279;T_5192;2;Lugano (CH);2711800;1092300
CH;5176;Comano;206;T_5192;2;Lugano (CH);2717400;1099400
CH;5180;Cureglia;106;T_5192;2;Lugano (CH);2716600;1099500
CH;5181;Curio;275;T_5192;4;Lugano (CH);2710400;1095500
CH;5186;Grancia;61;T_5192;2;Lugano (CH);2715500;1091800
CH;5187;Gravesano;71;T_5192;2;Lugano (CH);2714400;1100000
CH;5189;Lamone;186;T_5192;2;Lugano (CH);2715700;1100400
CH;5192;Lugano;7585;T_5192;1;Lugano (CH);2717100;1095900
CH;5193;Magliaso;110;T_5192;2;Lugano (CH);2712400;1093500
CH;5194;Manno;237;T_5192;2;Lugano (CH);2714600;1099200
CH;5196;Massagno;74;T_5192;2;Lugano (CH);2716400;1096900
CH;5198;Melide;166;T_5192;4;Lugano (CH);2716900;1090300
CH;5199;Mezzovico-Vira;1113;T_5192;4;Lugano (CH);2714400;1105400
CH;5200;Miglieglia;510;T_5192;4;Lugano (CH);2709900;1098000
CH;5203;Morcote;279;T_5192;4;Lugano (CH);2714000;1087300
CH;5205;Muzzano;155;T_5192;2;Lugano (CH);2715000;1095100
CH;5206;Neggio;89;T_5192;2;Lugano (CH);2711600;1093900
CH;5207;Novaggio;437;T_5192;4;Lugano (CH);2709700;1096400
CH;5208;Origlio;208;T_5192;4;Lugano (CH);2716500;1101400
CH;5210;Paradiso;89;T_5192;2;Lugano (CH);2716700;1094400
CH;5212;Ponte Capriasca;617;T_5192;4;Lugano (CH);2717000;1102300
CH;5214;Porza;156;T_5192;2;Lugano (CH);2717300;1098500
CH;5216;Pura;304;T_5192;2;Lugano (CH);2710900;1093600
CH;5221;Savosa;74;T_5192;2;Lugano (CH);2717000;1097800
CH;5225;Sorengo;85;T_5192;2;Lugano (CH);2715900;1095000
CH;5226;Capriasca;3638;T_5192;4;Lugano (CH);2718200;1102900
CH;5227;Torricella-Taverne;525;T_5192;2;Lugano (CH);2715500;1102600
CH;5230;Vernate;151;T_5192;2;Lugano (CH);2712100;1094700
CH;5231;Vezia;139;T_5192;2;Lugano (CH);2716100;1097900
CH;5233;Vico Morcote;197;T_5192;4;Lugano (CH);2715000;1087600
CH;5236;Collina d'Oro;614;T_5192;2;Lugano (CH);2714600;1093400
CH;5237;Alto Malcantone;2206;T_5192;4;Lugano (CH);2713200;1100700
CH;5238;Monteceneri;3608;T_5192;4;Lugano (CH);2714600;1108500
CH;5239;Tresa;1104;T_5192;4;Lugano (CH);2706000;1094400
CH;5240;Val Mara;1115;T_5192;4;Lugano (CH);2720100;1086500
CH;5242;Balerna;253;T_5250;2;Chiasso – Mendrisio (CH);2721800;1078700
CH;5249;Castel San Pietro;1184;T_5250;2;Chiasso – Mendrisio (CH);2721900;1080200
CH;5250;Chiasso;535;T_5250;2;Chiasso – Mendrisio (CH);2723400;1077200
CH;5251;Coldrerio;246;T_5250;2;Chiasso – Mendrisio (CH);2720300;1079200
CH;5254;Mendrisio;3177;T_5250;1;Chiasso – Mendrisio (CH);2720000;1081000
CH;5257;Morbio Inferiore;226;T_5250;2;Chiasso – Mendrisio (CH);2722600;1079200
CH;5260;Novazzano;523;T_5250;2;Chiasso – Mendrisio (CH);2719900;1077800
CH;5263;Riva San Vitale;605;T_5250;2;Chiasso – Mendrisio (CH);2718800;1085000
CH;5266;Stabio;615;T_5250;4;Chiasso – Mendrisio (CH);2716500;1078800
CH;5268;Vacallo;163;T_5250;2;Chiasso – Mendrisio (CH);2724000;1078600
CH;5269;Breggia;2548;T_5250;4;Chiasso – Mendrisio (CH);2722900;1080100
CH;5317;Maggia;11116;T_5113;4;Locarno (CH);2697900;1122500
CH;5324;Avegno Gordevio;2733;T_5113;4;Locarno (CH);2700700;1120400
CH;5396;Terre di Pedemonte;1159;T_5113;4;Locarno (CH);2699800;1115800
CH;5397;Centovalli;5339;T_5113;4;Locarno (CH);2697400;1114800
CH;5401;Aigle;1641;95401;6;Aigle;2563600;1129700
CH;5414;Villeneuve (VD);3198;5890;4;Vevey – Montreux;2560600;1138600
CH;5423;Ballens;845;5586;4;Lausanne;2518400;1156500
CH;5429;Longirod;945;T_6621;4;Genève (CH);2509400;1149900
CH;5430;Marchissy;1198;T_6621;4;Genève (CH);2508500;1149200
CH;5431;Mollens (VD);1099;5586;4;Lausanne;2517100;1159000
CH;5434;Saint-George;1232;T_6621;4;Genève (CH);2509600;1152100
CH;5471;Bettens;374;5586;4;Lausanne;2534000;1164400
CH;5472;Bournens;391;5586;4;Lausanne;2532900;1161800
CH;5473;Boussens;316;5586;4;Lausanne;2534400;1161700
CH;5474;La Chaux (Cossonay);674;5586;4;Lausanne;2526000;1163400
CH;5475;Chavannes-le-Veyron;264;5586;4;Lausanne;2524300;1162100
CH;5476;Chevilly;389;5586;4;Lausanne;2526300;1166200
CH;5477;Cossonay;828;5586;4;Lausanne;2528700;1162900
CH;5479;Cuarnens;713;5586;4;Lausanne;2523400;1164300
CH;5480;Daillens;552;5586;4;Lausanne;2531800;1163600
CH;5481;Dizy;304;5586;4;Lausanne;2527800;1165300
CH;5482;Eclépens;580;5586;4;Lausanne;2530100;1167200
